   6.755   17.578   44.329
   6.172   16.895   43.710
   6.315   17.130   42.653
   5.117   16.981   43.971
   6.614   15.521   43.977
   7.810   15.166   44.460
   8.600   15.849   44.734
   7.874   13.831   44.515
   6.678   13.316   44.051
   6.491   12.254   44.001
   5.889   14.375   43.709
   4.894   14.409   43.298
   9.007   13.041   45.041
   9.919   13.605   44.828
   9.045   12.126   44.445
   8.856   12.736   46.528
   7.929   12.189   46.728
   9.699   12.116   46.852
   8.855   13.653   47.127
  33.866   41.726   40.967
  33.853   41.191   41.917
  34.783   40.633   42.048
  33.002   40.509   41.938
  33.704   42.165   43.006
  34.035   43.460   42.944
  34.440   43.960   42.078
  33.814   44.018   44.140
  33.324   43.047   44.993
  33.068   43.260   46.020
  33.259   41.884   44.284
  32.946   40.895   44.578
  34.002   45.445   44.475
  34.832   45.812   43.867
  34.325   45.475   45.518
  32.730   46.261   44.260
  31.902   45.869   44.859
  32.915   47.297   44.563
  32.428   46.260   43.207
  38.794   20.149    1.460
  39.833   20.466    1.551
  40.220   20.773    0.577
  40.430   19.644    1.948
  39.902   21.594    2.489
  38.895   22.425    2.785
  37.895   22.361    2.383
  39.343   23.362    3.628
  40.680   23.120    3.880
  41.263   23.747    4.538
  41.032   22.015    3.163
  41.978   21.506    3.070
  38.530   24.435    4.238
  37.757   24.704    3.514
  39.192   25.299    4.341
  37.939   24.019    5.582
  38.724   23.734    6.289
  37.385   24.864    6.004
  37.248   23.177    5.470
  48.964   15.622   42.539
  48.008   16.104   42.748
  47.850   16.938   42.062
  48.000   16.461   43.779
  46.935   15.116   42.582
  47.004   14.008   41.834
  47.867   13.689   41.269
  45.821   13.385   41.876
  44.968   14.119   42.679
  43.950   13.813   42.867
  45.665   15.207   43.118
  45.367   16.028   43.749
  45.499   12.097   41.227
  46.091   12.041   40.311
  44.448   12.158   40.931
  45.753   10.907   42.147
  45.168   10.987   43.069
  45.458    9.987   41.631
  46.812   10.827   42.413
   2.220    9.901    9.580
   2.977   10.000   10.359
   2.501   10.065   11.340
   3.574   10.894   10.174
   3.858    8.826   10.313
   3.538    7.630    9.805
