# Time-averaged data for fix myat2
# TimeStep v_myvol
1000 123154
2000 123154
3000 123154
4000 123154
5000 123154
6000 123154
7000 123154
8000 123154
9000 123154
10000 123154
11000 123154
12000 123154
13000 123154
14000 123154
15000 123154
16000 123154
17000 123154
18000 123154
19000 123154
20000 123154
21000 123154
22000 123154
23000 123154
24000 123154
25000 123154
26000 123154
27000 123154
28000 123154
29000 123154
30000 123154
31000 123154
32000 123154
33000 123154
34000 123154
35000 123154
36000 123154
37000 123154
38000 123154
39000 123154
40000 123154
41000 123154
42000 123154
43000 123154
44000 123154
45000 123154
46000 123154
47000 123154
48000 123154
49000 123154
50000 123154
51000 123154
52000 123154
53000 123154
54000 123154
55000 123154
56000 123154
57000 123154
58000 123154
59000 123154
60000 123154
61000 123154
62000 123154
63000 123154
64000 123154
65000 123154
66000 123154
67000 123154
68000 123154
69000 123154
70000 123154
71000 123154
72000 123154
73000 123154
74000 123154
75000 123154
76000 123154
77000 123154
78000 123154
79000 123154
80000 123154
81000 123154
82000 123154
83000 123154
84000 123154
85000 123154
86000 123154
87000 123154
88000 123154
89000 123154
90000 123154
91000 123154
92000 123154
93000 123154
94000 123154
95000 123154
96000 123154
97000 123154
98000 123154
99000 123154
100000 123154
101000 123154
102000 123154
103000 123154
104000 123154
105000 123154
106000 123154
107000 123154
108000 123154
109000 123154
110000 123154
111000 123154
112000 123154
113000 123154
114000 123154
115000 123154
116000 123154
117000 123154
118000 123154
119000 123154
120000 123154
121000 123154
122000 123154
123000 123154
124000 123154
125000 123154
126000 123154
127000 123154
128000 123154
129000 123154
130000 123154
131000 123154
132000 123154
133000 123154
134000 123154
135000 123154
136000 123154
137000 123154
138000 123154
139000 123154
140000 123154
141000 123154
142000 123154
143000 123154
144000 123154
145000 123154
146000 123154
147000 123154
148000 123154
149000 123154
150000 123154
151000 123154
152000 123154
153000 123154
154000 123154
155000 123154
156000 123154
157000 123154
158000 123154
159000 123154
160000 123154
161000 123154
162000 123154
163000 123154
164000 123154
165000 123154
166000 123154
167000 123154
168000 123154
169000 123154
170000 123154
171000 123154
172000 123154
173000 123154
174000 123154
175000 123154
176000 123154
177000 123154
178000 123154
179000 123154
180000 123154
181000 123154
182000 123154
183000 123154
184000 123154
185000 123154
186000 123154
187000 123154
188000 123154
189000 123154
190000 123154
191000 123154
192000 123154
193000 123154
194000 123154
195000 123154
196000 123154
197000 123154
198000 123154
199000 123154
200000 123154
201000 123154
202000 123154
203000 123154
204000 123154
205000 123154
206000 123154
207000 123154
208000 123154
209000 123154
210000 123154
211000 123154
212000 123154
213000 123154
214000 123154
215000 123154
216000 123154
217000 123154
218000 123154
219000 123154
220000 123154
221000 123154
222000 123154
223000 123154
224000 123154
225000 123154
226000 123154
227000 123154
228000 123154
229000 123154
230000 123154
231000 123154
232000 123154
233000 123154
234000 123154
235000 123154
236000 123154
237000 123154
238000 123154
239000 123154
240000 123154
241000 123154
242000 123154
243000 123154
244000 123154
