# Time-averaged data for fix myat3
# TimeStep c_thermo_press
795000 -1254.11
796000 -1224.68
797000 -1191.24
798000 -1037.44
799000 -1311.74
800000 -1142.22
801000 -1397.04
802000 -1225.08
803000 -1234.76
804000 -945.681
805000 -1212.31
806000 -989.128
807000 -1566.02
808000 -1355.65
809000 -1135.07
810000 -1037.43
811000 -1185.13
812000 -1094.49
813000 -1120.97
814000 -799.169
815000 -985.197
816000 -965.397
817000 -1031.07
818000 -1253.77
819000 -1440.53
820000 -1158.41
821000 -1460.28
822000 -1338.66
823000 -1421.86
824000 -1019.95
825000 -1186.42
826000 -1381.01
827000 -1215.47
828000 -1319.65
829000 -1439.15
830000 -1191.5
831000 -1630.73
832000 -1762.18
833000 -1272.26
834000 -1482.13
835000 -1547.74
836000 -1515.34
837000 -1457.97
838000 -1613.16
839000 -1381.99
840000 -1472.24
841000 -1414.57
842000 -1316.57
843000 -1565.55
844000 -1194.9
845000 -1370.34
846000 -1416.34
847000 -1412.94
848000 -1528.71
849000 -1316.71
850000 -1143.17
851000 -1593.18
852000 -1470.7
853000 -1057.78
854000 -1323.52
855000 -1101.02
856000 -1555.29
857000 -1611
858000 -1603.33
859000 -1294.48
860000 -1459.7
861000 -1632.58
862000 -1261.46
863000 -1559.37
864000 -1609.91
865000 -1753.2
866000 -1528.77
867000 -1680.38
868000 -1348.35
869000 -1602.42
870000 -1556.35
871000 -1602.25
872000 -1294.24
873000 -1621.93
874000 -1336.1
875000 -1321.91
876000 -1121.41
877000 -1268.76
878000 -1320.97
879000 -1276.03
880000 -1279.06
881000 -1159.83
882000 -1421.08
883000 -1774.92
884000 -1219.44
885000 -1419.88
886000 -1586.59
887000 -1560.81
888000 -1386.95
889000 -1844.43
890000 -1460.67
891000 -1589.8
892000 -1338.99
893000 -1008
894000 -1227.64
895000 -1266
896000 -1619.18
897000 -1440.46
898000 -1463.09
899000 -1450.27
900000 -1274.79
901000 -1468.16
902000 -1095.12
903000 -1400.72
904000 -1253.87
905000 -1337.38
906000 -1337.74
907000 -1193.82
908000 -1153.35
909000 -1779.72
910000 -1215.92
911000 -1510.39
912000 -1461.37
913000 -1429.17
914000 -1199.19
915000 -1392.31
916000 -1308.81
917000 -1046.37
918000 -1032.57
919000 -1368.47
920000 -997.614
921000 -1293.26
922000 -1376.37
923000 -1019.67
924000 -1217.91
925000 -1627.79
926000 -1201.93
927000 -1482.14
928000 -1236.48
929000 -1406.93
930000 -1476.44
931000 -1290.67
932000 -1239.85
933000 -1330.36
934000 -1064.47
935000 -1531.89
936000 -1414.64
937000 -1230.24
938000 -1402.55
939000 -1412.6
940000 -1549.19
941000 -1472.96
942000 -1291.76
943000 -1274.87
944000 -1293.44
945000 -1593.38
946000 -1517.47
947000 -1438.29
948000 -1411.66
949000 -1648.09
950000 -1394.67
951000 -1431.34
952000 -1173.83
953000 -1496.29
954000 -1421.91
955000 -1148.68
956000 -1096.68
957000 -1065.57
958000 -1448.5
959000 -1466.05
960000 -1403.45
961000 -1289.65
962000 -1127.72
963000 -1076.43
964000 -1105.28
965000 -1488.99
966000 -1377.59
967000 -1675.16
968000 -1275.9
969000 -1313.42
970000 -1579.09
971000 -1268.72
972000 -1533.04
973000 -1236.66
974000 -1170.2
975000 -1528.41
976000 -1428.43
977000 -1285.18
978000 -1377.75
979000 -1291.96
980000 -1421.64
981000 -1172.1
982000 -1419.11
983000 -1076.14
984000 -1258.09
985000 -1580.91
986000 -1408.42
987000 -1255.41
988000 -1492.35
989000 -1120
990000 -1620.48
991000 -1247.76
992000 -1522.64
993000 -1352.83
994000 -1388.79
995000 -1578.06
996000 -1683.9
997000 -1760.12
998000 -1129.48
999000 -1608.64
1000000 -1267.97
